region,category,domain,dnssec_apex,dkim_selector,dkim_kind,dkim_validated
US,gov-census,access-board.gov,signed,selector1,cname,no
US,gov-census,goldwaterscholarship.gov,signed,selector1,cname,no
US,gov-census,afrh.gov,signed,selector1,cname,no
US,gov-census,abmc.gov,signed,selector1,cname,no
US,gov-census,achp.gov,signed,selector1,cname,no
US,gov-census,arc.gov,unsigned,selector2,cname,no
US,gov-census,arctic.gov,signed,google,direct,yes
US,gov-census,asc.gov,signed,none,none,na
US,gov-census,goldwaterinternship.gov,unsigned,none,none,na
US,gov-census,fedpartnership.gov,signed,none,none,na
US,gov-census,billetes.gov,signed,none,none,na
US,gov-census,federalreserve.gov,signed,none,none,na
US,gov-census,federalreserveconsumerhelp.gov,signed,none,none,na
US,gov-census,fbiic.gov,signed,none,none,na
US,gov-census,ffiec.gov,signed,none,none,na
US,gov-census,fedres.gov,signed,none,none,na
US,gov-census,frb.gov,signed,none,none,na
US,gov-census,preserveamerica.gov,signed,none,none,na
US,gov-census,frs.gov,signed,none,none,na
US,gov-census,acus.gov,signed,none,none,na
US,gov-census,oasis.gov,unsigned,none,none,na
US,gov-census,cia.gov,signed,s1,direct,yes
US,gov-census,ic.gov,signed,selector1,direct,yes
US,gov-census,newmoney.gov,signed,none,none,na
US,gov-census,uscurrency.gov,signed,none,none,na
US,gov-census,odci.gov,signed,s1,direct,yes
US,gov-census,csb.gov,unsigned,selector1,cname,no
US,gov-census,opensource.gov,signed,selector1,cname,no
US,gov-census,istac.gov,signed,none,none,na
US,gov-census,ucia.gov,signed,s1,direct,yes
US,gov-census,coldcaserecords.gov,unsigned,google,direct,no
US,gov-census,ptf.gov,signed,s1,direct,yes
US,gov-census,cftc.gov,signed,selector1,cname,no
US,gov-census,consumerfinance.gov,signed,selector1,cname,no
US,gov-census,cfpb.gov,signed,selector1,cname,no
US,gov-census,safetyvideos.gov,unsigned,none,none,na
US,gov-census,cfpa.gov,signed,selector1,cname,no
US,gov-census,bcfp.gov,signed,none,none,na
US,gov-census,consumerbureau.gov,signed,none,none,na
US,gov-census,devcftc.gov,signed,none,none,na
US,gov-census,whistleblower.gov,signed,none,none,na
US,gov-census,smartcheck.gov,signed,none,none,na
US,gov-census,consumerfinancial.gov,signed,none,none,na
US,gov-census,consumerfinancialprotectionbureau.gov,signed,none,none,na
US,gov-census,consumerprotectionbureau.gov,signed,none,none,na
US,gov-census,cpsc.gov,signed,selector1,cname,no
US,gov-census,mimm.gov,signed,none,none,na
US,gov-census,anchorit.gov,signed,none,none,na
US,gov-census,atvsafety.gov,signed,none,none,na
US,gov-census,drywallresponse.gov,signed,none,none,na
US,gov-census,poolsafely.gov,signed,none,none,na
US,gov-census,poolsafety.gov,signed,none,none,na
US,gov-census,recalls.gov,signed,none,none,na
US,gov-census,saferproduct.gov,signed,none,none,na
US,gov-census,americorps.gov,signed,selector1,cname,no
US,gov-census,osde.gov,unsigned,none,none,na
US,gov-census,saferproducts.gov,signed,none,none,na
US,gov-census,seguridadconsumidor.gov,signed,none,none,na
US,gov-census,cns.gov,signed,selector2,cname,no
US,gov-census,mlkday.gov,signed,selector1,cname,no
US,gov-census,nationalservice.gov,signed,selector1,cname,no
US,gov-census,supervisioncentral.gov,unsigned,none,none,na
US,gov-census,vistacampus.gov,signed,selector1,cname,no
US,gov-census,serve.gov,signed,selector1,cname,no
US,gov-census,cigie.gov,signed,selector2,cname,no
US,gov-census,fedezfile.gov,unsigned,none,none,na
US,gov-census,csosa.gov,signed,selector1,cname,no
US,gov-census,cncs.gov,signed,none,none,na
US,gov-census,mentor.gov,signed,none,none,na
US,gov-census,joinamericorps.gov,signed,none,none,na
US,gov-census,psa.gov,signed,selector1,cname,no
US,gov-census,presidentialserviceawards.gov,signed,none,none,na
US,gov-census,ignet.gov,signed,none,none,na
US,gov-census,oversight.gov,signed,none,none,na
US,gov-census,dra.gov,unsigned,selector1,cname,no
US,gov-census,dnfsb.gov,signed,selector2,cname,no
US,gov-census,volunteeringinamerica.gov,signed,none,none,na
US,gov-census,pandemicoversight.gov,signed,none,none,na
US,gov-census,ars-grin.gov,signed,selector1,cname,no
US,gov-census,denali.gov,unsigned,selector1,cname,no
US,gov-census,americorpsoig.gov,unsigned,none,none,na
US,gov-census,pretrialservices.gov,signed,none,none,na
US,gov-census,ag.gov,signed,none,none,na
US,gov-census,aff.gov,signed,none,none,na
US,gov-census,ama.gov,signed,none,none,na
US,gov-census,connect.gov,signed,selector1,cname,no
US,gov-census,farmerfairness.gov,signed,selector1,direct,yes
US,gov-census,biopreferred.gov,signed,none,none,na
US,gov-census,farmers.gov,signed,selector1,cname,no
US,gov-census,choosemyplate.gov,signed,none,none,na
US,gov-census,arsusda.gov,signed,none,none,na
US,gov-census,dietaryguidelines.gov,signed,none,none,na
US,gov-census,invasivespeciesinfo.gov,signed,selector1,cname,no
US,gov-census,empowhr.gov,signed,none,none,na
US,gov-census,nutrition.gov,signed,selector1,cname,no
US,gov-census,execsec.gov,signed,none,none,na
US,gov-census,recreation.gov,signed,google,direct,yes
US,gov-census,rural.gov,signed,selector1,direct,yes
US,gov-census,fedsfeedfamilies.gov,unsigned,none,none,na
US,gov-census,forestsandrangelands.gov,signed,none,none,na
US,gov-census,myplate.gov,signed,none,none,na
US,gov-census,rec.gov,signed,none,none,na
US,gov-census,lcacommons.gov,signed,none,none,na
US,gov-census,nafri.gov,signed,none,none,na
US,gov-census,productofusa.gov,signed,none,none,na
US,gov-census,usda.gov,signed,selector1,cname,no
US,gov-census,wildfire.gov,signed,selector1,cname,no
US,gov-census,ap.gov,unsigned,selector1,direct,no
US,gov-census,bea.gov,signed,selector1,cname,no
US,gov-census,nwcg.gov,signed,none,none,na
US,gov-census,screwworm.gov,signed,none,none,na
US,gov-census,symbols.gov,signed,none,none,na
US,gov-census,aviationweather.gov,signed,none,none,na
US,gov-census,bis.gov,unsigned,selector1,cname,no
US,gov-census,aicenter.gov,signed,none,none,na
US,gov-census,aiexports.gov,signed,none,none,na
US,gov-census,chips.gov,signed,selector1,cname,no
US,gov-census,commerce.gov,signed,selector1,cname,no
US,gov-census,doc.gov,signed,selector1,cname,no
US,gov-census,usdapii.gov,signed,none,none,na
US,gov-census,eda.gov,signed,selector1,cname,no
US,gov-census,census.gov,signed,none,none,na
US,gov-census,dataprivacyframework.gov,signed,none,none,na
US,gov-census,firstnet.gov,signed,selector1,cname,no
US,gov-census,bldrdoc.gov,signed,none,none,na
US,gov-census,export.gov,unsigned,none,none,na
US,gov-census,cwc.gov,unsigned,selector1,cname,no
US,gov-census,edison.gov,signed,none,none,na
US,gov-census,climate.gov,signed,none,none,na
US,gov-census,gps.gov,signed,google,direct,yes
US,gov-census,icts.gov,unsigned,none,none,na
US,gov-census,goes-r.gov,signed,none,none,na
US,gov-census,fishwatch.gov,signed,none,none,na
US,gov-census,hurricanes.gov,signed,none,none,na
US,gov-census,iedison.gov,signed,none,none,na
US,gov-census,heat.gov,signed,none,none,na
US,gov-census,drought.gov,signed,none,none,na
US,gov-census,mbda.gov,signed,selector1,cname,no
US,gov-census,mgi.gov,signed,selector1,cname,no
US,gov-census,nist.gov,signed,selector1,cname,no
US,gov-census,luca-appeals.gov,signed,none,none,na
US,gov-census,manufacturing.gov,signed,none,none,na
US,gov-census,ntia.gov,signed,selector2,cname,no
US,gov-census,ntis.gov,signed,selector2,cname,no
US,gov-census,privacyshield.gov,signed,none,none,na
US,gov-census,noaa.gov,signed,google,direct,yes
US,gov-census,nehrp.gov,signed,none,none,na
US,gov-census,marinecadastre.gov,signed,none,none,na
US,gov-census,nwirp.gov,signed,none,none,na
